epoch,lr,train_loss,base_loss,head_loss,layer_loss,token_loss,head_keep,layer_keep,token_keep,val_acc,epoch_time_s,is_best
1,0.0002,4.9643,5.0598,-0.2069,0.0,0.0159,0.6317,1.0,0.6242,5.5,131.5,True
2,0.0004,4.6798,4.775,-0.2071,0.0,0.0166,0.6326,1.0,0.6212,9.34,101.9,True
3,0.0006,4.5067,4.6015,-0.2071,0.0,0.0176,0.6319,1.0,0.6177,12.15,102.4,True
4,0.0008,4.4138,4.5084,-0.2071,0.0,0.018,0.6324,1.0,0.6158,13.05,101.5,True
5,0.001,4.3465,4.4414,-0.2071,0.0,0.0173,0.6317,1.0,0.6186,14.63,103.5,True
6,0.001,4.2406,4.3356,-0.2071,0.0,0.017,0.6324,1.0,0.6197,15.49,101.4,True
7,0.00099974,4.1717,4.2672,-0.2071,0.0,0.0162,0.6323,1.0,0.6228,17.2,101.2,True
8,0.00099896,4.1021,4.1976,-0.2071,0.0,0.0163,0.6323,1.0,0.6226,18.12,101.6,True
9,0.00099766,4.0523,4.1474,-0.2071,0.0,0.0168,0.6322,1.0,0.6205,20.09,101.4,True
10,0.00099585,3.9985,4.0937,-0.2071,0.0,0.0166,0.6321,1.0,0.6212,20.43,100.2,True
11,0.00099352,3.9153,4.0109,-0.2071,0.0,0.0159,0.6319,1.0,0.6238,22.34,99.0,True
12,0.00099068,3.8506,3.9463,-0.2072,0.0,0.0157,0.6326,1.0,0.6246,23.56,100.7,True
13,0.00098733,3.8015,3.8974,-0.2071,0.0,0.0154,0.632,1.0,0.6261,24.75,99.3,True
14,0.00098347,3.7381,3.834,-0.2071,0.0,0.0154,0.632,1.0,0.6259,25.61,99.5,True
15,0.00097912,3.7035,3.7995,-0.2071,0.0,0.0151,0.6322,1.0,0.6273,26.13,100.6,True
16,0.00097426,3.6372,3.7334,-0.2072,0.0,0.0149,0.6325,1.0,0.6278,26.92,99.2,True
17,0.00096892,3.6016,3.6978,-0.2071,0.0,0.0147,0.6323,1.0,0.6287,29.12,100.1,True
18,0.00096309,3.5254,3.6217,-0.2071,0.0,0.0144,0.6322,1.0,0.6302,27.87,101.0,False
19,0.00095678,3.5221,3.6186,-0.2071,0.0,0.0141,0.6321,1.0,0.6312,28.66,98.9,False
20,0.00095,3.463,3.5595,-0.2071,0.0,0.014,0.632,1.0,0.6316,29.38,101.3,True
21,0.00094275,3.4382,3.5349,-0.2071,0.0,0.0139,0.6322,1.0,0.6323,29.6,98.8,True
22,0.00093505,3.4348,3.5314,-0.2071,0.0,0.014,0.632,1.0,0.6316,31.92,100.7,True
23,0.0009269,3.3731,3.4697,-0.2071,0.0,0.0138,0.6318,1.0,0.6325,31.15,101.3,False
24,0.0009183,3.3284,3.4251,-0.2071,0.0,0.0137,0.6321,1.0,0.6329,31.42,101.9,False
25,0.00090928,3.2804,3.3772,-0.2071,0.0,0.0137,0.6322,1.0,0.6331,33.07,103.3,True
26,0.00089984,3.2402,3.3369,-0.2071,0.0,0.0136,0.6316,1.0,0.6334,32.96,101.6,False
27,0.00088999,3.2433,3.3402,-0.2071,0.0,0.0135,0.6321,1.0,0.6339,31.97,100.9,False
28,0.00087974,3.2149,3.3118,-0.2071,0.0,0.0133,0.6319,1.0,0.6345,32.65,100.9,False
29,0.0008691,3.1742,3.2711,-0.2071,0.0,0.0133,0.6319,1.0,0.6347,33.36,103.0,True
30,0.00085809,3.1031,3.2001,-0.2071,0.0,0.0132,0.632,1.0,0.6349,33.67,102.0,True
31,0.00084671,3.1099,3.2069,-0.2071,0.0,0.0132,0.6322,1.0,0.6352,34.01,102.4,True
32,0.00083498,3.0333,3.1303,-0.2071,0.0,0.0132,0.632,1.0,0.635,34.19,100.8,True
33,0.00082291,3.0274,3.1244,-0.2071,0.0,0.0131,0.6323,1.0,0.6356,34.4,104.1,True
34,0.00081051,3.0074,3.1044,-0.2072,0.0,0.013,0.6325,1.0,0.6358,35.22,103.1,True
35,0.00079781,2.9973,3.0943,-0.2071,0.0,0.0131,0.6317,1.0,0.6357,34.74,100.6,False
36,0.0007848,2.9527,3.0497,-0.2071,0.0,0.013,0.6316,1.0,0.636,34.0,99.9,False
37,0.00077151,2.9555,3.0526,-0.2071,0.0,0.013,0.6324,1.0,0.6358,35.78,100.0,True
38,0.00075795,2.9108,3.0079,-0.2072,0.0,0.013,0.6324,1.0,0.6359,35.29,103.5,False
39,0.00074414,2.9136,3.0107,-0.2072,0.0,0.013,0.6325,1.0,0.6361,35.34,103.6,False
40,0.00073008,2.8832,2.9803,-0.2072,0.0,0.0129,0.6328,1.0,0.6362,35.04,101.4,False
41,0.00071581,2.8398,2.9369,-0.2072,0.0,0.013,0.6326,1.0,0.6361,35.73,102.6,False
42,0.00070132,2.8484,2.9455,-0.2072,0.0,0.013,0.6325,1.0,0.636,36.33,100.3,True
43,0.00068664,2.8158,2.9129,-0.2071,0.0,0.0129,0.6321,1.0,0.6364,36.68,101.8,True
44,0.00067178,2.7711,2.8682,-0.2071,0.0,0.013,0.6323,1.0,0.6362,36.71,99.2,True
45,0.00065677,2.7494,2.8465,-0.2071,0.0,0.0129,0.6323,1.0,0.6365,35.62,99.5,False
46,0.00064161,2.7433,2.8405,-0.2071,0.0,0.0129,0.6315,1.0,0.6366,35.88,102.2,False
47,0.00062632,2.6817,2.7789,-0.2071,0.0,0.0128,0.6321,1.0,0.6368,36.25,104.0,False
48,0.00061092,2.6695,2.7667,-0.2071,0.0,0.0129,0.6318,1.0,0.6366,37.55,100.1,True
49,0.00059543,2.6228,2.7199,-0.2071,0.0,0.0129,0.6322,1.0,0.6366,37.53,105.5,False
50,0.00057986,2.6244,2.7216,-0.2072,0.0,0.0127,0.6327,1.0,0.6371,37.19,101.1,False
51,0.00056423,2.6106,2.7077,-0.2071,0.0,0.0129,0.6322,1.0,0.6366,36.49,103.0,False
52,0.00054855,2.5545,2.6517,-0.2071,0.0,0.0128,0.6321,1.0,0.6369,35.81,101.0,False
53,0.00053285,2.5383,2.6355,-0.2071,0.0,0.0128,0.6316,1.0,0.637,36.88,99.0,False
54,0.00051715,2.5199,2.6171,-0.2071,0.0,0.0128,0.6317,1.0,0.6371,36.34,100.5,False
55,0.00050145,2.4752,2.5723,-0.2071,0.0,0.0127,0.6322,1.0,0.6371,37.13,102.5,False
56,0.00048577,2.4431,2.5403,-0.2072,0.0,0.0128,0.6325,1.0,0.637,36.77,102.2,False
57,0.00047014,2.4631,2.5603,-0.2071,0.0,0.0128,0.6324,1.0,0.6369,38.0,102.0,True
58,0.00045457,2.5082,2.6053,-0.2072,0.0,0.0128,0.6324,1.0,0.6367,36.22,102.8,False
59,0.00043908,2.4899,2.5871,-0.2071,0.0,0.0128,0.6316,1.0,0.6369,37.46,102.6,False
60,0.00042368,2.423,2.5201,-0.2071,0.0,0.0128,0.6312,1.0,0.6369,37.44,99.7,False
61,0.00040839,2.3926,2.4898,-0.2071,0.0,0.0127,0.6322,1.0,0.6371,38.78,100.4,True
62,0.00039323,2.352,2.4492,-0.2071,0.0,0.0127,0.6319,1.0,0.6372,37.53,102.6,False
63,0.00037822,2.3968,2.494,-0.2071,0.0,0.0128,0.6319,1.0,0.6369,37.54,99.9,False
64,0.00036336,2.3432,2.4404,-0.2072,0.0,0.0128,0.6325,1.0,0.6371,38.48,101.1,False
65,0.00034868,2.3387,2.4359,-0.2071,0.0,0.0128,0.632,1.0,0.6369,37.79,101.4,False
66,0.00033419,2.2871,2.3842,-0.2071,0.0,0.0128,0.6318,1.0,0.6368,38.67,100.2,False
67,0.00031992,2.3891,2.4863,-0.2072,0.0,0.0128,0.6325,1.0,0.6368,38.46,100.2,False
68,0.00030586,2.2845,2.3816,-0.2071,0.0,0.0128,0.6319,1.0,0.637,37.64,99.8,False
69,0.00029205,2.2899,2.3871,-0.2071,0.0,0.0128,0.6316,1.0,0.637,38.87,99.7,True
70,0.00027849,2.2256,2.3228,-0.2071,0.0,0.0128,0.6318,1.0,0.637,38.13,102.4,False
71,0.0002652,2.2214,2.3187,-0.2071,0.0,0.0127,0.6321,1.0,0.6372,37.8,102.4,False
72,0.00025219,2.3098,2.4069,-0.2071,0.0,0.0128,0.6323,1.0,0.637,38.25,103.9,False
73,0.00023949,2.1879,2.2851,-0.2071,0.0,0.0127,0.6317,1.0,0.6372,38.39,104.4,False
74,0.00022709,2.2001,2.2973,-0.2071,0.0,0.0128,0.6321,1.0,0.6369,38.75,104.9,False
75,0.00021502,2.1621,2.2593,-0.2071,0.0,0.0128,0.6318,1.0,0.637,38.65,106.8,False
76,0.00020329,2.2174,2.3146,-0.2071,0.0,0.0128,0.632,1.0,0.637,38.72,105.7,False
77,0.00019191,2.1647,2.2619,-0.2071,0.0,0.0127,0.6321,1.0,0.6371,38.69,105.8,False
78,0.0001809,2.1584,2.2556,-0.2071,0.0,0.0127,0.632,1.0,0.6372,38.59,105.3,False
79,0.00017026,2.1504,2.2476,-0.2071,0.0,0.0127,0.6322,1.0,0.6371,38.74,105.6,False
80,0.00016001,2.1195,2.2167,-0.2071,0.0,0.0128,0.632,1.0,0.637,39.07,106.1,True
81,0.00015016,2.0688,2.166,-0.2071,0.0,0.0127,0.6318,1.0,0.6373,38.28,104.3,False
82,0.00014072,2.119,2.2162,-0.2071,0.0,0.0127,0.632,1.0,0.6372,39.29,104.3,True
83,0.0001317,2.1423,2.2395,-0.2071,0.0,0.0128,0.6321,1.0,0.637,38.15,105.2,False
84,0.0001231,2.1197,2.2169,-0.2072,0.0,0.0127,0.6325,1.0,0.6371,38.75,100.9,False
85,0.00011495,2.0935,2.1907,-0.2071,0.0,0.0128,0.6322,1.0,0.637,38.97,104.4,False
86,0.00010725,2.0598,2.157,-0.2072,0.0,0.0128,0.6327,1.0,0.637,38.23,105.1,False
87,0.0001,2.1015,2.1987,-0.2071,0.0,0.0127,0.6319,1.0,0.6372,38.72,104.9,False
88,9.322e-05,2.0622,2.1594,-0.2072,0.0,0.0128,0.6325,1.0,0.6371,38.86,101.7,False
89,8.691e-05,2.1026,2.1998,-0.2072,0.0,0.0128,0.6328,1.0,0.637,39.23,101.0,False
90,8.108e-05,2.0637,2.1609,-0.2071,0.0,0.0128,0.6321,1.0,0.637,39.13,102.6,False
91,7.574e-05,2.0402,2.1374,-0.2072,0.0,0.0128,0.6323,1.0,0.637,39.07,102.4,False
92,7.088e-05,2.0304,2.1276,-0.2071,0.0,0.0128,0.632,1.0,0.6369,38.77,101.1,False
93,6.653e-05,2.038,2.1351,-0.2071,0.0,0.0128,0.6321,1.0,0.6369,39.02,99.9,False
94,6.267e-05,1.9894,2.0866,-0.2072,0.0,0.0128,0.6327,1.0,0.637,39.29,100.5,False
95,5.932e-05,1.9933,2.0905,-0.2072,0.0,0.0128,0.6324,1.0,0.637,39.59,98.5,True
96,5.648e-05,2.0718,2.1689,-0.2071,0.0,0.0128,0.6319,1.0,0.637,39.0,98.7,False
97,5.415e-05,2.0658,2.163,-0.2071,0.0,0.0128,0.632,1.0,0.637,38.84,98.5,False
98,5.234e-05,2.0311,2.1283,-0.2071,0.0,0.0128,0.6322,1.0,0.637,39.22,98.7,False
99,5.104e-05,2.0245,2.1216,-0.2072,0.0,0.0128,0.6326,1.0,0.637,39.67,99.3,True
100,5.026e-05,2.0179,2.1151,-0.2071,0.0,0.0128,0.6317,1.0,0.6369,39.51,99.7,False
